Index,Role,KPP Goals,Measurement Criteria,Tool,Measure,Type,Aggregation Type,Weekly Target,Quarterly Target,Annual Target,Goal Type,Prorate
k16,Integration Tester,Bug Identification: Efficiently identify bugs before release.,Bug Identification: Number of bugs found during testing phase.,JIRA,Bugs detected >,NG,ANG,5,30,120,Output,Yes
k17,Integration Tester,Automation: Increase the number of automated tests.,Automation: Ratio of automated tests to manual tests.,CICD report,# Automation tests,NG,ANG,9,107.5,430,Hygiene,Yes
k18,Integration Tester,Documentation: Maintain clear and thorough documentation.,Documentation: Quality and completeness of documentation.,JIRA ,JIRA task for document (Test Plan/Other),NG,ANG,1,6,24,Hygiene,Yes
k19,System Tester,Test Coverage: Ensure comprehensive test coverage.,Test Coverage: Percentage of code covered by tests.,GitHub,# New Tests / KLOC committed (Team),PG,APG,5,1.25,5,,No
k20,System Tester,Bug Identification: Efficiently identify bugs before release.,Bug Identification: Number of bugs found during testing phase.,JIRA,Bugs detected >,NG,ANG,3,18.75,75,,Yes
k21,System Tester,Automation: Increase the number of automated tests.,Automation: Ratio of automated tests to manual tests.,CICD report,#System Automation tests,NG,ANG,1,12,48,,Yes
k22,System Tester,Test Documentation: Maintain clear and thorough test documentation.,Test Documentation: Quality and completeness of test documentation.,JIRA,JIRA task for test plan,NG,ANG,1,6,24,,Yes
k23,QA Engineer,Test Coverage: Ensure comprehensive test coverage.,Test Coverage: Percentage of code covered by tests.,Copilot tracker,# New Tests / KLOC committed (Team),PG,APG,8,1.5,6,Hygiene,No
k24,QA Engineer,Bug Identification: Efficiently identify bugs before release.,Bug Identification: Number of bugs found during testing phase.,JIRA,Bugs detected >,NG,ANG,5,30,120,Output,Yes
k25,QA Engineer,Automation: Increase the number of automated tests.,Automation: Ratio of automated tests to manual tests.,CICD report,# Automation tests added,NG,ANG,5,30,120,,Yes
k26,QA Engineer,Test Documentation: Maintain clear and thorough test documentation.,Test Documentation: Quality and completeness of test documentation.,JIRA,JIRA task for test plan,NG,ANG,1,6,24,,Yes
k27,DevOps Engineer,CI/CD Pipeline Efficiency: Maintain efficient CI/CD pipeline,CI/CD Pipeline Efficiency: Deployment frequency and success rate.,CICD report,Successful Build/Total Automated Builds,PG,APG,90%,0.225,90%,Quality,No
k28,DevOps Engineer,Infrastructure Reliability: Ensure high availability of infrastructure.,Infrastructure Reliability: Uptime and failure rate.,Copilot tracker,Env Issues faced (Product Level) <=,NL,ANL,10,125,500,Hygiene,Yes
k29,DevOps Engineer,Automation: Automate repetitive tasks.,Automation: Number of automated tasks versus manual interventions.,CICD report,# Deployment automation,NG,ANG,1,5,20,Hygiene,Yes
k30,DevOps Engineer,Security Compliance: Ensure systems meet security compliance.,Security Compliance: Number of security incidents and compliance audits.,"AppScan, Whitesource, Sonar, DAST",# Successful Scan runs,PG,APG,2,20,80,Output,Yes
k31,Database Administrator,Query Performance: Optimize database queries.,Query Performance: Query execution time and Person usage.,Testcase run,Increase in time taken for reresentative test <,NL,APL,5%,5%,5%,Quality,No
k32,Database Administrator,Data Integrity: Ensure data integrity and reliability.,Data Integrity: Number of data integrity issues found.,JIRA,# Open Bugs tagged Database,NL,ANL,0,1,4,Quality,Yes
k33,Database Administrator,Backup and Recovery: Ensure regular backups and recovery plans.,Backup and Recovery: Backup success rate and recovery time.,Manual Report,# Backups,NG,,1,6,24,Hygiene,Yes
k34,Database Administrator,Database Maintenance: Regularly maintain and update databases.,Database Maintenance: Frequency and quality of maintenance activities.,Manual Report,# Maintenance activities >,NG,,1,6,24,Hygiene,Yes
k35,Security Engineer,Vulnerability Management: Identify and mitigate security vulnerabilities.,Vulnerability Management: Number of vulnerabilities identified and fixed.,"AppScan, Whitesource","Number of Appscan, Whitesource runs",PG,APG,2,12,48,,Yes
k36,Security Engineer,Incident Response: Effectively respond to security incidents.,Incident Response: Response time and effectiveness of incident resolution.,"CVE, JIRA (Secutiry tagged)",Average time to assignment <,NL,ANL,1,0.25,1,,No
k37,Security Engineer,Security Training: Conduct regular security training sessions.,Security Training: Number and quality of training sessions.,Manual,# Trainings,NG,ANG,1,6.25,25,,Yes
k38,Security Engineer,Security issues in product,Security issues in product,JIRA,# Defects tagged Security,NL,ANL,1,6,24,,Yes
k39,Frontend Engineer,UI/UX Quality: Ensure high-quality user interfaces and experiences.,UI/UX Quality: User feedback and UI/UX metrics.,JIRA,# Bugs for design (bug-ui-functional) Product level <,NL,ANL,1,12,48,Quality,Yes
k40,Frontend Engineer,Responsiveness: Ensure responsive design across devices.,Responsiveness: Cross-device compatibility and performance metrics.,JIRA,# UI bugs <,NL,ANL,3,30,120,Quality,Yes
k41,Frontend Engineer,Code Efficiency: Write efficient and maintainable frontend code.,Code Efficiency: Code review scores and performance benchmarks.,JIRA,# UI Performance issues <,NL,ANL,1,2.5,10,Quality,Yes
k42,Frontend Engineer,Collaboration: Work effectively with designers and backend developers.,Collaboration: Feedback from team members and project outcomes.,Copilot tracker,# Help instances,NG,ANG,1,12,48,Hygiene,Yes
k43,Product Manager,Feature Delivery: Ensure timely delivery of product features.,Feature Delivery: Timeliness and completeness of feature delivery.,JIRA,Actual Story Points per team member,NG,ANG,4,45,180,,No
k44,Product Manager,Market Fit: Ensure product features meet market needs.,Market Fit: User feedback and market analysis.,Manual,Customer adoption,NG,ANG,1,1,4,,Yes
k45,Product Manager,Team Collaboration: Foster effective collaboration within the team.,Team Collaboration: Team feedback and project success rates.,Manual,#Epics delivered per product,NG,ANG,3,35,140,,Yes
k46,Scrum Master,Roadmap Planning: Create and maintain a clear product roadmap.,Roadmap Planning: Accuracy and effectiveness of the roadmap.,JIRA,#. Future sprints defined,NG,,2,0.5,2,Hygiene,Yes
k47,Architect,System Design: Create scalable and robust system architectures.,System Design: Scalability and robustness of designed systems.,"Manual, JIRA",#Bugs needing Design/Arch change less than,NL,ANL,1,12,48,Quality,Yes
k48,Architect,Technology Strategy: Develop long-term technology strategies.,Technology Strategy: Alignment with business goals and technology trends.,Manual,# 3PP changes (Whitesource Runs) > ,PG,APG,90%,95%,95%,Hygiene,No
k49,Architect,Code Quality: Ensure high standards of code quality in architecture.,Code Quality: Code review and architecture assessment scores.,GitHub,Number of reviews done,NG,ANG,3,36,144,Quality,Yes
k50,Architect,Mentorship: Guide and mentor technical staff.,Mentorship: Growth and feedback of mentees.,Copilot Tracker,Help instances,NG,ANG,1,12,48,Hygiene,Yes
k51,Deployment Engineer,Deployment Success Rate: Ensure successful deployments.,Deployment Success Rate: Percentage of successful deployments.,GitHub,Automation Pass rate on deployment,PG,APG,95%,0.2375,95%,Quality,No
k52,Quarterly Score,Score,Score,Computation,Computation,NG,,75,22.5,90,,Yes
k53,Deployment Engineer,Downtime Reduction: Minimize deployment-related downtime.,Downtime Reduction: Downtime metrics and incident reports.,CICD Tracker,Health Check failed TCs <=,NL,ANL,0,10,40,Quality,Yes
k54,Deployment Engineer,Environment Consistency: Maintain consistency across deployment environments.,Environment Consistency: Environment audit results.,CICD Report,CICD Deployment success rate >=,PG,APG,90%,0.225,90%,Quality,No
k55,Critical KPI,UT Sufficiency,UT created per KLOC,JIRA/Tracker,k214 * 1000 / k227,NG,ANG,18,18,18,Hygiene,No
k56,UI Developer,Implementation efficiency,Speed of development,JIRA,#Screens developed,NG,ANG,1,7.5,30,Output,Yes
k57,UI Developer,Implement responsive design,Reduction in UI-specific bugs reported by users or testers,JIRA,#Open Bugs attributable to  UI (Snapshot) <,NL,ANL,5,12,48,Quality,Yes
k58,UI Developer,Consistency: Ensure design consistency across the product.,Consistency: Consistency metrics and design audit results.,Manual,# 3PP changes (Whitesource Runs) > ,NG,APG,100%,95%,95%,,No
k59,UI Designer,Design Quality: Create high-quality and user-friendly designs.,Design Quality: User feedback and design review scores.,JIRA,#Bugs attributable to UI design <,NL,ANL,2,12,48,Quality,Yes
k60,UI Designer,UI/UX Quality: Ensure high-quality user interfaces and experiences.,UI/UX Quality: User feedback and UI/UX metrics.,JIRA,# Bugs for design (bug-ui-functional) Product level <,NL,ANL,5,12,48,Quality,Yes
k61,UI Designer,Innovation: Incorporate innovative design trends.,Innovation: Adoption rate of new design trends.,Manual,Feedback,F,,Feedback,Feedback,Feedback,,Yes
k62,UI Designer,Consistency: Ensure design consistency across the product.,Consistency: Consistency metrics and design audit results.,Scan report,# 3PP changes (Whitesource Runs) > ,NG,ANG,1,6,24,,Yes
k63,Tech Writer,Documentation Quality: Produce clear and comprehensive documentation.,Documentation Quality: User feedback and review scores.,JIRA,# Bugs on documentation,NL,ANL,1,12,48,,Yes
k64,Tech Writer,Timeliness: Deliver documentation on time.,Timeliness: Documentation delivery timelines.,JIRA,Delayed SP,NL,ANL,0,3,12,,Yes
k65,Tech Writer,Accuracy: Ensure documentation accuracy and relevance.,Accuracy: Number of errors and updates required.,JIRA,Review comments <,NL,ANL,3,12.5,50,,Yes
k66,Tech Writer,User Engagement: Increase user engagement with documentation.,User Engagement: Usage metrics and user feedback.,Manual,Feedback,F,,OK,OK,OK,,Yes
k67,System Engineer,System Reliability: Ensure high system reliability and uptime.,System Reliability: Uptime metrics and incident reports.,JIRA,JIRA related to reliability (Product),NL,ANL,0,1,4,,Yes
k68,System Engineer,Performance Optimization: Optimize system performance.,Performance Optimization: Performance benchmarks and Person usage.,JIRA,# Open Bugs tagged to performance,NL,ANL,0,1,4,,Yes
k69,System Engineer,Automation: Automate system management tasks.,Automation: Number of automated tasks versus manual interventions.,JIRA,# Story points related to application management,NG,ANG,2,20,80,,Yes
k70,System Engineer,Security Compliance: Ensure systems meet security compliance.,Security Compliance: Number of security incidents and compliance audits.,"JIRA, GitHub","#successful scans run ( Appscan, Whitesource, Sonar at Product level)",NG,ANG,2,20,80,,Yes
k71,Performance Engineer,Performance Testing: Conduct thorough performance testing.,Performance Testing: Number and quality of performance tests conducted.,"JIRA (Performance tagged), CICD Report", # Failed performance runs,PL,APL,20%,10%,5%,,No
k72,Performance Engineer,Optimization: Identify and optimize performance bottlenecks.,Optimization: Performance improvements and benchmark results.,"JIRA (Performance tagged), CICD Report",Related Story Points,NG,ANG,1,6,24,,Yes
k73,Performance Engineer,Monitoring: Implement effective performance monitoring.,Monitoring: Monitoring coverage and accuracy.,GitHub,# Performance runs,NG,ANG,1,6,24,,Yes
k74,Critical KPI,Compliance with Development Environment,Regular upgrade to latest UDE version,UDE,Median UDE update delay,NL,ANL,8,8,8,Hygiene,Yes
k75,Trainee,Code Efficiency: Write efficient and optimized code.,Code Efficiency: Measured through code reviews and performance benchmarks.,Copilot Metrics,Copilot LOC,NG,ANG,40,450,1800,,Yes
k76,Trainee,Weekly Evaluation,Quiz score,Form,# Assessment Reports,NG,ANG,75%,80%,80%,,No
k77,Security Analyst,Compliance: Ensure Product adherence to security policies and regulations.,Compliance: PEN Test results.,JIRA,Label penetration tagged JIRA (Product) <=,NL,ANL,0,1,4,,Yes
k78,Trainee,New Technology Training,Number of tranings completed,Copilot tracker,Number of tranings completed,NG,ANG,1,6,24,,Yes
k79,Incident Response Team,Response Time: Minimize incident response time.,Response Time: Average incident response time.,TAC Portal,Average Assignment delay (Days) <=,NL,ANL,1,0.25,1,Hygiene,No
k80,Incident Response Team,Incident Resolution: Effectively resolve security incidents.,Incident Resolution: Number of incidents resolved successfully.,TAC Portal,% Closed within SLA,PG,,100%,0.2375,95%,Quality,No
k81,Incident Response Team,Documentation: Maintain detailed incident reports and documentation.,Documentation: Quality and thoroughness of incident reports.,Wiki,Feedback on Reports,F,,OK,OK,OK,,Yes
k82,Incident Response Team,Night Shift,#Night shifts,Manual,Manual report,NG,,2,22.5,90,,Yes
k83,,Active participation in reviews,Active participation in reviews - Number ,GitHub,# Reviews actively participated,NG,ANG,4,48,192,,Yes
k84,Research,Team Guidance: Provide effective technical guidance to the team.,Team Guidance: Team’s performance and feedback.,Copilot tracker,Help instances in Scrum Team,NG,ANG,5,30,120,,Yes
k85,Research,Planning: Develop detailed plans and deliver,Adherence to release plans.,JIRA,Sprint content as per plan (Scrum Team Delayed SP <),NL,,0,5,20,,Yes
k86,Research,Research Tasks,Contribution to reseearch tasks score,Manual,#Score,NG,ANG,1,6.25,25,,Yes
k87,IoT Developer,Device Integration: Successfully integrate IoT devices.,Device Integration: Number of successfully integrated devices.,JIRA,# EPICs for device integration,NG,,1,1,4,,Yes
k88,IoT Developer,Code Efficiency: Write efficient code for IoT devices.,Code Efficiency: Performance and Person usage of IoT devices.,Copilot Metrics,Copilot LOC,NG,,40,450,1800,,Yes
k89,IoT Developer,Security: Ensure IoT devices are secure.,Security: Number of security vulnerabilities found and fixed.,JIRA,# Bugs tagged to security <=,NL,,0,1,4,,Yes
k90,Program Manager,Release Delivery,Succesful releases,Manual,ELB,F,ANG,0,0.25,1,,Yes
k91,Embedded Systems Engineer,Code Efficiency: Write optimized code for embedded systems.,Code Efficiency: Performance benchmarks and Person usage.,JIRA,# BugsTagged performance,NL,ANL,1,5,20,,Yes
k92,Embedded Systems Engineer,Reliability: Ensure the reliability of embedded systems.,Reliability: Uptime and failure rates of embedded systems.,JIRA,# Bugs,NL,ANL,2,18.75,75,,Yes
k93,Embedded Systems Engineer,Debugging: Effectively debug and resolve issues in embedded systems.,Debugging: Time taken to debug and fix issues.,JIRA,Average Dev Cycle time for Bugs (Individual Contributions),NL,ANL,10,2.5,10,,No
k94,Embedded Systems Engineer,Documentation: Maintain detailed documentation for embedded systems.,Documentation: Quality and completeness of documentation.,Manual,# document jira done,NG,ANG,1,12,48,,Yes
k95,Network Engineer,Network Performance: Optimize network performance and reliability.,"Network Performance: Network uptime, latency, and throughput.",,Successful performance runs,NG,,1,12,48,,Yes
k96,Network Engineer,Configuration Management: Maintain accurate network configuration.,Configuration Management: Accuracy and completeness of configuration records.,,# document jira done,NG,,1,12,48,,Yes
k97,Network Engineer,Security: Ensure network security and compliance.,Security: Number of security incidents and compliance audit results.,,# Security related JIRA <,NL,,1,5,20,,Yes
k98,Network Engineer,Automation: Automate network configuration and management tasks.,Automation: Number of automated tasks versus manual interventions.,,# Automation ,NG,,1,10,40,,Yes
k99,Mobile Developer,App Performance: Ensure high performance of mobile applications.,App Performance: Performance benchmarks and user feedback.,JIRA,# BugsTagged performance,NL,ANL,1,5,20,,Yes
k100,Mobile Developer,"Code Quality: Write clean, maintainable code for mobile apps.",Code Quality: Code review scores and adherence to best practices.,GitHub,# Review comments received <,NL,ANL,5,60,240,,Yes
k101,Mobile Developer,Feature Delivery: Deliver new features on time.,Feature Delivery: Number of features delivered on time.,JIRA,Delivered Story Points >=,NG,ANG,4,48,192,,Yes
k102,Mobile Developer,User Experience: Ensure a positive user experience in mobile apps.,Design Quality: User feedback and design review scores.,JIRA,#Bugs attributable to UI design <,NL,ANL,2,12,48,,Yes
k103,Research Architect,Code Quality: Ensure high standards of code quality in architecture.,Number of research reviews done,JIRA,Number of reviews done,NG,ANG,1,12.5,50,,Yes
k104,Research Architect,Mentorship: Guide and mentor technical staff.,Help instances,Copilot tracker,Help instances in Scrum Team,NG,ANG,5,30,120,,Yes
k105,Research Architect,Identify or discover new technologies / frameworks and share,Research Technologies,JIRA,research-new-tech-analysis,NG,ANG,1,6,24,Input,Yes
k106,Research Architect,Identify any bottlenecks or improvements in existing design and implementation,Research existing design & implementation,JIRA,research-design-review,NG,ANG,1,6,24,,Yes
k107,Research Architect,Develop and Present POCs,POCs,JIRA,research-poc,NG,ANG,1,6,24,Output,Yes
k108,Senior Engineer - Research,Research Depth & Tech Evaluation,"Ability to explore, compare, and document multiple algorithms, tech stacks, or tools for solving a problem",JIRA,research-core-analysis,NG,ANG,1,2.5,10,,Yes
k109,Senior Engineer - Research,System Design: Create new/Identify/Upgrade existing scalable and robust system architectures,Clarity and quality of system design documents with technical reasoning behind chosen algorithms and stacks.,JIRA,research-design-review,NG,ANG,1,1.25,5,,Yes
k110,Senior Engineer - Research,POC Delivery:Develop and Present POCs,SP delivered,JIRA,research-poc,NG,ANG,1,2.5,10,,Yes
k111,Senior Engineer - Research,Coding Efficiency: Code generation as part of POCs,Copilot LOC,JIRA,k1- Copilot LOC,NG,ANG,40,400,1600,,Yes
k112,Senior Engineer - Research,Documentation & Knowledge Sharing,Quality of technical documentation and internal presentations of R&D findings and PoCs.,JIRA,research-doc,NG,ANG,1,2.5,10,,Yes
k113,Senior Engineer - Research,Team Guidance: Provide effective technical guidance to the team.,Help instances,Copilot tracker,Help instances in Scrum Team,NG,ANG,1,12,48,,Yes
k114,Junior Software Engineer,Induction,Induction completion,Manual,Test Score,NG,ANG,65,65,65,Quality,Yes
k115,Developer - Research,Debugging Skills: Effectively identify and resolve bugs.,Debugging Skills: Time taken to debug and fix issues.,JIRA,research-core-debug,NG,ANG,1,2.5,10,Quality,Yes
k116,Developer - Research,Code Quality: Maintain high code quality and readability.,"Code Quality: Code review scores, adherence to coding standards.",JIRA,research-code-review,NG,ANG,1,12.5,50,Hygiene,Yes
k117,Developer - Research,UT creation,Number per week,JIRA,research-core-test,NG,ANG,1,12.5,50,Hygiene,Yes
k118,Developer - Research,JIRA story points complete,Story Points completed,JIRA,#Story points,NG,ANG,4,50,200,Output,Yes
k119,Backend Engineer,API Development: Develop efficient and scalable APIs.,API Development: Performance benchmarks and user feedback.,JIRA,#Story points,NG,ANG,4,48,192,Output,Yes
k120,Backend Engineer,Database Management: Efficiently manage backend databases.,Database Management: Query performance and data integrity metrics.,JIRA,# BugsTagged DB performance (Individual) <,NL,ANL,1,5,20,Quality,Yes
k121,Backend Engineer,Performance Optimization: Optimize backend performance. (Scrum),Performance Optimization: Performance improvements and benchmarks. (Scrum),JIRA,# BugsTagged performance (Scrum Team) <,NL,ANL,1,6,24,Quality,Yes
k122,Backend Engineer,SAST Gating issues (Product),SAST (Critical + High),CICD Tracker,SAST (Critical + High) Product <=,NL,ANL,0,1.25,5,Quality,No
k123,Full Stack Developer,Frontend and Backend Development: Develop both frontend and backend components.,Frontend and Backend Development: Performance and quality metrics of both components.,"GitHub, JIRA",Assigned tasks,NG,,2,12,48,Input,Yes
k124,Full Stack Developer,Feature Implementation: Deliver new features within deadlines.,Feature Implementation: Number of features delivered on time.,JIRA,Story Points ,NG,ANG,1,5,20,Output,Yes
k125,Full Stack Developer,Code Quality: Maintain high code quality and readability.,"Code Quality: Code review scores, adherence to coding standards.",GitHub,Review comments received <,NL,ANL,5,50,200,Quality,Yes
k126,Full Stack Developer,"Collaboration: Work effectively with designers, product managers, and other developers.",Collaboration: Feedback from team members and project outcomes.,Copilot tracker,Help instances,NG,ANG,1,12,48,Hygiene,Yes
k127,Test Engineer,Test Plan Creation: Develop comprehensive test plans.,Test Plan Creation: Quality and completeness of test plans.,JIRA ,JIRA task for test plan,NG,ANG,1,6,24,,Yes
k128,Test Engineer,Test Execution: Efficiently execute test plans and report results.,Test Execution: Number of tests executed and defect detection rate.,CICD report,Deployment pass percent (Automation passs%),PG,APG,90%,95%,95%,,No
k129,Test Engineer,Automation: Increase the automation of test cases.,Automation: Ratio of automated tests to manual tests.,CICD report,# Tests added / KLOC added,PG,APG,9,4.5,18,,No
k130,Test Engineer,Bug Reporting: Provide clear and detailed bug reports.,Bug Reporting: Quality and clarity of bug reports.,JIRA,#Bugs referred back for information <,NL,ANL,1,12,48,,Yes
k131,Release Engineer,Build Plan and Success,Release Planning: adherence to release plans.,CICD report,Successful Build/Total Automated Builds,PG,APG,100%,95%,95%,,No
k132,Release Engineer,Deployment Success Rate: Ensure successful software releases.,Deployment Success Rate: Percentage of successful releases.,CICD report,Deployment pass (Automation pass %),PG,APG,90%,95%,95%,,No
k133,Release Engineer,Rollback Procedures: Maintain effective rollback procedures.,Rollback Procedures: Number and effectiveness of rollback procedures.,Manual,Manual,F,,Feedback,Feedback,Feedback,,Yes
k134,Release Engineer,Collaboration: Work effectively with development and QA teams.,Collaboration: Feedback from team members and release outcomes.,Copilot tracker,Help instances,F,ANG,1,12,48,,Yes
k135,Program Manager,Release Planning: Develop detailed release plans.,Maintaining release plans.,JIRA,# Sprints planned ahead,NG,,2,0.5,2,,Yes
k136,Program Manager,Planning: Develop detailed plans and deliver,Adherence to release plans.,JIRA,Sprint content as per plan (Team Delayed SP <),NL,,0,5,20,Output,Yes
k137,Program Manager,Team Collaboration: Foster effective collaboration within the team.,Team Collaboration: Team feedback and project success rates.,Copilot tracker,Help instances,NG,ANG,1,12,48,Hygiene,Yes
k138,Program Manager,Person Utilization Rate,Story Points per sprint per Person (Product Team),JIRA,Story Points per sprint per Person (Product Team),RG,,3.8,8,8,Input,No
k139,Developer,UT creation,#UT cases,Copilot tracker,Number of UT cases,NG,ANG,10,60,240,Duplicated,Yes
k140,FPGA Design Engineer,Code Generation Speed,Time saved in writing HDL code,GitHub,GitLOC productivity per day >=,NG,,20,5,20,,No
k141,FPGA Design Engineer,Code Quality (Defect Density Team Level) k16 k227 based,Bug Density,JIRA,"Bugs per 1,000 lines of code (KLOC) (Team level)",NL,,8,2,8,,No
k142,FPGA Design Engineer,Person Optimization,Improvement in FPGA Person usage,JIRA,Relevant defects <=,NL,,1,1.25,5,,Yes
k143,Embedded Software Engineer,Development Time Reduction,Productivity,JIRA,Story points delivered >=,NG,ANG,4,48,192,,Yes
k144,Embedded Software Engineer,Error Rate,Number of bugs or issues per lines of code,"JIRA, GitHub","Bugs per 1,000 lines of code (KLOC)",NL,,8,2,8,,No
k145,Embedded Software Engineer,Code Coverage,Percentage of code covered by automated tests,CICD report,Percentage (%),PG,,90%,95%,95%,,No
k146,DSP Algorithm Engineer,Algorithm Implementation Speed,Time saved in developing and testing algorithms,GitHub,LOC productivity per day >=,NG,,20,5,20,,Yes
k147,DSP Algorithm Engineer,Performance Improvement,Efficiency of the generated code,JIRA,Bugs related to performance <=,NL,,1,5,20,,Yes
k148,DSP Algorithm Engineer,Code Reusability,Generated code,Copilot tracker,Copilot LOC >=,NG,,50,600,2400,,Yes
k149,RF/Microwave Engineer,Simulation Setup Time,Reduction in time to set up and run RF simulations,Manual,Hours or days per simulation,NL,,1,0.25,1,,No
k150,RF/Microwave Engineer,Test Automation Efficiency,Number of automated test scripts generated or improved,Copilot tracker,Number of scripts,NG,,4,48,192,,Yes
k151,RF/Microwave Engineer,Accuracy of Calculations,Reduction in errors in RF calculations,JIRA,Bugs related to RF <=,NL,,1,5,20,,Yes
k152,System Architect,Documentation Quality,Clarity and completeness of generated design documents,Feedback,"Qualitative assessment (e.g., 1-5 scale or user feedback)",F,,Feedback,Feedback,Feedback,,Yes
k153,System Architect,Integration Time,Reduction in time for hardware-software integration,JIRA,Story points per sprint for integration <=,NL,,4,2,8,,No
k154,System Architect,Design Consistency,Number of design inconsistencies or architectural flaws,JIRA,Number of inconsistencies or flaws per project,NL,,0,3.75,15,,Yes
k155,Verification and Validation Engineer,Test Development Time,Reduction in time to create and execute tests,JIRA,Story points per sprint >=,NG,ANG,4,2,8,,No
k156,Verification and Validation Engineer,Test Coverage,Improvement in code and functional coverage metrics,CICD report,# Automated runs v/s Manual greater than,PG,,90%,95%,90%,,No
k157,Verification and Validation Engineer,Bug Detection Rate,Number of bugs detected ,JIRA,Bugs raised >=,NG,ANG,3,30,120,,Yes
k158,Hardware Engineer (PCB Design),Design Automation Efficiency,Time saved in PCB layout and validation,JIRA,Story points related to PCB design >=,NG,,4,48,192,,Yes
k159,Hardware Engineer (PCB Design),Signal Integrity Metrics,Improvement in signal integrity,,dB reduction in crosstalk or signal loss,NG,,,0,,,Yes
k160,Hardware Engineer (PCB Design),Design Accuracy,Reduction in design errors or rework required,,Number of errors or rework instances per design,NL,,,0,,,Yes
k161,Project Manager,Planning Efficiency,Time saved in project planning and documentation,,Documentation quantum,RG,ANG,1,10,40,,Yes
k162,Project Manager,Task Completion Rate,Percentage of tasks completed on time,JIRA,Percentage (%),PG,,100%,95%,95%,,No
k163,Project Manager,Risk Mitigation Effectiveness,Reduction in project risks and issues,,Number of risks mitigated or issues resolved per project,NG,,,0,,,Yes
k164,Quality Assurance (QA) Engineer,Test Plan Quality,Completeness and clarity of generated test plans,,"Qualitative assessment (e.g., 1-5 scale or user feedback)",F,,,0,,,Yes
k165,Quality Assurance (QA) Engineer,Automation Coverage,Percentage of tests automated using generated scripts,,Percentage (%),PG,,100%,95%,95%,,No
k166,Quality Assurance (QA) Engineer,Defect Rate,Number of defects found per lines of code reviewed,,"Defects per 1,000 lines of code (KLOC)",NG,,,0,,,No
k167,Field Application Engineer (FAE),Documentation Clarity,Feedback on clarity and usefulness of generated documentation,,Bugs on documentation,NL,ANL,0,6,24,,Yes
k168,Field Application Engineer (FAE),Support Efficiency,Time saved in customer support interactions,,Minutes or hours per support case,NG,,,0,,,Yes
k169,Field Application Engineer (FAE),Customer Satisfaction,Improvement in customer satisfaction scores,,Percentage (%) or score on a predefined scale,PG,,,0,,,Yes
k170,Documentation Specialist,Documentation Speed,Time saved in creating and updating documents,,Hours or days per document,NG,,,0,,,No
